S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-02-16,883.00,883.00,867.00,876.50,0.75,"9,014.00","7,868,643.10"
2,2025-02-13,875.00,877.00,860.00,870.00,-0.57,"7,886.00","6,838,020.90"
3,2025-02-12,884.00,884.00,870.60,875.00,0.34,"5,142.00","4,496,306.70"
4,2025-02-11,875.00,877.90,870.20,872.00,0.23,"9,798.00","8,558,027.40"
5,2025-02-10,867.00,884.30,862.40,870.00,0.35,"13,404.00","11,654,302.60"
6,2025-02-09,870.00,873.00,865.10,867.00,0.93,"12,280.00","10,657,811.20"
7,2025-02-06,872.00,872.00,858.00,859.00,-1.26,"13,149.00","11,383,540.60"
8,2025-02-05,874.00,875.00,861.80,870.00,-0.91,"7,668.00","6,682,387.40"
9,2025-02-04,889.00,889.00,875.00,878.00,-0.57,"8,588.00","7,537,452.40"
10,2025-02-03,877.90,899.00,877.90,883.00,2.08,"19,013.00","16,854,719.80"
11,2025-02-02,840.00,865.00,840.00,865.00,2.49,"19,851.00","17,092,208.70"
12,2025-01-28,853.00,855.00,841.10,844.00,-0.82,"11,188.00","9,459,538.90"
13,2025-01-27,856.00,858.80,848.00,851.00,-0.93,"5,793.00","4,933,311.30"
14,2025-01-26,852.00,863.00,851.00,859.00,0.00,"10,539.00","9,052,979.80"
15,2025-01-23,870.90,870.90,851.00,859.00,0.59,"9,784.00","8,364,370.90"
16,2025-01-22,845.00,860.00,844.00,854.00,1.29,"9,165.00","7,795,228.60"
17,2025-01-21,845.00,848.00,842.00,843.10,0.13,"4,975.00","4,200,265.70"
18,2025-01-20,843.10,851.00,840.00,842.00,-0.41,"7,452.00","6,287,517.50"
19,2025-01-19,843.00,850.00,840.00,845.50,0.17,"6,790.00","5,729,192.80"
20,2025-01-16,855.00,855.00,844.00,844.10,-0.69,"6,765.00","5,732,646.20"
21,2025-01-15,849.00,859.00,845.00,850.00,0.12,"4,549.00","3,879,371.00"
22,2025-01-13,850.00,857.00,845.00,849.00,-0.82,"5,382.00","4,572,171.40"
23,2025-01-12,862.00,865.00,855.00,856.00,-0.70,"3,153.00","2,705,969.70"
24,2025-01-09,858.00,869.00,858.00,862.00,-0.46,"9,071.00","7,828,740.90"
25,2025-01-08,856.00,870.00,852.00,866.00,2.24,"16,399.00","14,116,215.00"
