Date,Ltp
3/20/2011,"1,170.00"
3/20/2011,"1,170.00"
3/20/2011,"1,170.00"
3/20/2011,"1,170.00"
3/24/2011,"1,153.00"
3/24/2011,"1,153.00"
3/24/2011,"1,153.00"
3/24/2011,"1,153.00"
3/25/2011,"1,174.00"
3/25/2011,"1,174.00"
3/25/2011,"1,174.00"
3/25/2011,"1,174.00"
3/27/2011,"1,147.00"
3/27/2011,"1,147.00"
3/27/2011,"1,147.00"
3/27/2011,"1,147.00"
3/28/2011,"1,132.00"
3/28/2011,"1,132.00"
3/28/2011,"1,132.00"
3/28/2011,"1,132.00"
3/29/2011,"1,097.00"
3/29/2011,"1,097.00"
3/29/2011,"1,097.00"
3/29/2011,"1,097.00"
3/30/2011,"1,040.00"
3/30/2011,"1,040.00"
3/30/2011,"1,040.00"
3/30/2011,"1,040.00"
3/31/2011,"1,082.00"
3/31/2011,"1,082.00"
3/31/2011,"1,082.00"
3/31/2011,"1,082.00"
4/4/2011,"1,099.00"
4/4/2011,"1,099.00"
4/4/2011,"1,099.00"
4/4/2011,"1,099.00"
4/5/2011,"1,100.00"
4/5/2011,"1,100.00"
4/5/2011,"1,100.00"
4/5/2011,"1,100.00"
4/6/2011,"1,122.00"
4/7/2011,"1,111.00"
4/10/2011,"1,115.00"
4/11/2011,"1,112.00"
4/13/2011,"1,218.00"
4/17/2011,"1,098.00"
4/18/2011,"1,086.00"
4/19/2011,"1,066.00"
4/20/2011,"1,063.00"
4/21/2011,"1,075.00"
4/25/2011,"1,078.00"
4/27/2011,"1,081.00"
4/28/2011,"1,046.00"
5/2/2011,"1,040.00"
5/3/2011,"1,045.00"
5/4/2011,"1,019.00"
5/5/2011,"1,030.00"
5/8/2011,"1,040.00"
5/9/2011,"1,040.00"
5/10/2011,"1,050.00"
5/11/2011,"1,070.00"
5/12/2011,"1,091.00"
5/15/2011,"1,155.00"
5/16/2011,"1,193.00"
5/18/2011,"1,172.00"
5/19/2011,"1,194.00"
5/22/2011,"1,178.00"
5/23/2011,"1,170.00"
5/24/2011,"1,150.00"
5/25/2011,"1,150.00"
5/26/2011,"1,149.00"
5/30/2011,"1,150.00"
5/31/2011,"1,100.00"
6/1/2011,"1,080.00"
6/2/2011,"1,056.00"
6/5/2011,"1,060.00"
6/6/2011,"1,055.00"
6/7/2011,"1,045.00"
6/8/2011,"1,020.00"
6/9/2011,"1,023.00"
6/12/2011,965
6/13/2011,933
6/14/2011,868
6/15/2011,817
6/16/2011,898
6/19/2011,987
6/20/2011,987
6/21/2011,"1,193.00"
6/23/2011,"1,310.00"
6/26/2011,"1,228.00"
6/27/2011,"1,106.00"
6/29/2011,"1,123.00"
6/30/2011,"1,140.00"
7/3/2011,"1,065.00"
7/4/2011,"1,086.00"
7/5/2011,"1,140.00"
7/6/2011,"1,100.00"
7/7/2011,"1,120.00"
7/10/2011,"1,140.00"
7/11/2011,"1,160.00"
7/12/2011,"1,190.00"
7/13/2011,"1,190.00"
7/14/2011,"1,252.00"
7/17/2011,"1,377.00"
7/18/2011,"1,283.00"
7/19/2011,"1,321.00"
7/20/2011,"1,356.00"
7/21/2011,"1,370.00"
7/24/2011,"1,320.00"
7/25/2011,"1,294.00"
7/26/2011,"1,265.00"
7/27/2011,"1,294.00"
7/28/2011,"1,289.00"
7/31/2011,"1,250.00"
8/1/2011,"1,246.00"
8/2/2011,"1,266.00"
8/3/2011,"1,240.00"
8/4/2011,"1,252.00"
8/9/2011,"1,182.00"
8/10/2011,"1,234.00"
8/11/2011,"1,220.00"
