Date,Ltp
12/1/2011,273
1/18/2012,263
4/1/2012,258
4/30/2012,248
5/7/2012,244
5/20/2012,232
5/29/2012,225
7/10/2012,214
7/12/2012,204
7/16/2012,200
7/17/2012,196
7/26/2012,193
8/12/2012,190
8/19/2012,181
8/26/2012,172
9/9/2012,155
9/25/2012,147
9/26/2012,143
10/2/2012,124
10/3/2012,112
10/4/2012,111
10/7/2012,112
10/8/2012,114
10/9/2012,112
10/10/2012,112
10/11/2012,114
10/14/2012,111
10/15/2012,118
10/18/2012,120
10/30/2012,119
10/31/2012,122
11/1/2012,120
11/4/2012,120
11/5/2012,124
11/6/2012,128
11/7/2012,128
11/21/2012,130
11/22/2012,126
11/25/2012,116
11/26/2012,116
11/27/2012,117
11/28/2012,119
11/29/2012,117
12/3/2012,116
12/4/2012,118
12/5/2012,117
12/6/2012,118
12/9/2012,116
12/10/2012,116
12/11/2012,118
12/12/2012,116
12/13/2012,117
12/17/2012,117
12/18/2012,116
12/19/2012,116
12/20/2012,120
12/24/2012,122
12/31/2012,120
1/1/2013,118
1/3/2013,118
1/6/2013,118
1/8/2013,116
1/10/2013,115
1/16/2013,115
1/20/2013,115
1/22/2013,125
1/24/2013,130
1/27/2013,128
1/28/2013,125
1/30/2013,125
1/31/2013,127
2/3/2013,127
2/4/2013,130
2/5/2013,127
2/6/2013,129
2/7/2013,129
2/12/2013,130
2/13/2013,129
2/14/2013,131
2/19/2013,133
2/20/2013,131
2/21/2013,129
2/24/2013,127
9/7/2014,139
9/9/2014,151
9/10/2014,166
9/11/2014,182
9/14/2014,200
9/15/2014,220
9/30/2014,235
10/8/2014,251
10/9/2014,266
10/12/2014,291
10/13/2014,320
10/14/2014,320
10/15/2014,320
10/16/2014,321
10/19/2014,322
10/20/2014,314
10/21/2014,315
10/22/2014,325
10/26/2014,318
10/27/2014,318
10/28/2014,319
10/30/2014,321
11/2/2014,309
11/3/2014,308
11/4/2014,302
11/5/2014,301
11/6/2014,313
11/9/2014,311
11/10/2014,306
11/11/2014,298
11/12/2014,305
11/13/2014,294
11/16/2014,290
11/17/2014,290
11/18/2014,275
11/19/2014,282
11/20/2014,277
11/23/2014,285
11/24/2014,280
11/30/2014,288
12/1/2014,286
12/2/2014,283
12/3/2014,283
12/4/2014,282
12/7/2014,283
12/9/2014,278
12/11/2014,283
12/14/2014,303
12/15/2014,297
12/16/2014,292
12/17/2014,295
12/18/2014,290
12/21/2014,285
12/22/2014,285
12/23/2014,285
12/24/2014,290
12/28/2014,300
12/29/2014,298
12/31/2014,295
1/1/2015,294
1/4/2015,296
1/5/2015,300
1/6/2015,295
1/7/2015,307
1/8/2015,300
1/12/2015,317
1/13/2015,340
1/14/2015,350
1/18/2015,349
1/19/2015,354
1/20/2015,361
1/22/2015,365
1/25/2015,371
1/26/2015,365
1/27/2015,372
1/28/2015,377
1/29/2015,384
2/1/2015,385
2/2/2015,390
2/3/2015,391
2/4/2015,391
2/5/2015,391
2/8/2015,385
2/9/2015,391
2/10/2015,395
2/11/2015,397
2/12/2015,395
2/15/2015,401
2/16/2015,403
2/18/2015,405
2/22/2015,400
2/23/2015,396
2/24/2015,398
2/26/2015,397
3/1/2015,410
3/2/2015,404
3/3/2015,402
3/4/2015,402
3/9/2015,403
3/10/2015,415
3/11/2015,410
3/12/2015,410
3/15/2015,400
3/16/2015,396
3/17/2015,400
3/18/2015,394
3/19/2015,398
3/22/2015,405
3/23/2015,407
3/24/2015,403
3/25/2015,406
3/26/2015,404
3/31/2015,340
4/1/2015,320
4/2/2015,326
4/16/2015,322
4/19/2015,318
4/20/2015,312
4/21/2015,319
4/22/2015,325
4/23/2015,330
5/28/2015,297
5/31/2015,299
6/1/2015,300
6/2/2015,310
6/3/2015,316
6/4/2015,332
6/7/2015,328
6/8/2015,333
6/9/2015,340
6/10/2015,345
6/11/2015,342
6/14/2015,330
6/15/2015,323
6/16/2015,320
6/17/2015,310
6/18/2015,311
6/22/2015,311
6/28/2015,318
6/29/2015,322
6/30/2015,328
7/1/2015,328
7/2/2015,322
7/5/2015,310
7/6/2015,311
7/7/2015,315
7/8/2015,316
7/9/2015,315
7/12/2015,309
7/13/2015,315
7/14/2015,319
7/15/2015,320
7/16/2015,314
7/22/2015,326
7/23/2015,344
7/26/2015,357
7/27/2015,356
7/28/2015,346
7/29/2015,354
7/30/2015,360
8/2/2015,382
8/3/2015,365
8/4/2015,371
8/5/2015,370
8/6/2015,373
8/9/2015,373
8/10/2015,368
8/11/2015,361
8/12/2015,357
8/13/2015,366
8/16/2015,366
8/17/2015,365
8/18/2015,370
8/19/2015,379
8/20/2015,378
8/23/2015,390
8/24/2015,388
8/25/2015,404
8/26/2015,379
8/27/2015,390
8/31/2015,397
9/1/2015,390
9/2/2015,385
9/3/2015,374
9/6/2015,370
9/7/2015,386
9/8/2015,387
9/9/2015,390
9/10/2015,390
9/13/2015,395
9/14/2015,395
9/15/2015,403
9/16/2015,411
9/17/2015,403
9/22/2015,383
9/23/2015,390
9/24/2015,386
9/28/2015,380
9/29/2015,378
9/30/2015,392
10/1/2015,397
10/4/2015,400
10/5/2015,396
10/6/2015,406
10/7/2015,400
10/8/2015,400
10/11/2015,394
10/14/2015,390
10/15/2015,379
10/18/2015,375
10/19/2015,396
11/1/2015,396
11/3/2015,389
11/4/2015,382
11/8/2015,382
11/22/2015,375
11/23/2015,374
11/24/2015,361
11/25/2015,356
11/26/2015,351
11/29/2015,344
11/30/2015,329
12/1/2015,344
12/2/2015,340
12/3/2015,345
12/7/2015,353
12/8/2015,367
12/9/2015,381
12/10/2015,380
12/13/2015,380
12/15/2015,371
12/16/2015,365
12/20/2015,372
12/21/2015,385
12/22/2015,382
12/23/2015,395
12/24/2015,394
12/28/2015,389
12/29/2015,384
12/31/2015,380
1/3/2016,380
1/4/2016,378
1/5/2016,379
1/6/2016,370
1/7/2016,370
1/10/2016,390
1/11/2016,403
1/12/2016,400
1/13/2016,393
1/14/2016,388
1/24/2016,395
1/25/2016,434
1/26/2016,468
1/27/2016,502
1/28/2016,552
1/31/2016,510
2/1/2016,505
2/2/2016,495
2/3/2016,515
2/4/2016,391
2/7/2016,396
2/8/2016,397
2/11/2016,380
2/14/2016,373
2/16/2016,370
2/17/2016,364
2/18/2016,351
2/21/2016,354
2/22/2016,359
2/23/2016,354
3/1/2016,361
3/2/2016,361
3/3/2016,368
3/6/2016,384
3/10/2016,389
3/13/2016,396
3/14/2016,403
3/15/2016,388
3/16/2016,375
3/21/2016,361
3/23/2016,365
3/24/2016,364
3/27/2016,360
3/29/2016,355
3/30/2016,353
3/31/2016,358
4/3/2016,352
4/4/2016,347
4/5/2016,356
4/6/2016,354
4/11/2016,343
4/14/2016,355
4/17/2016,360
4/18/2016,377
4/19/2016,370
4/20/2016,361
4/21/2016,358
4/24/2016,360
4/25/2016,370
4/26/2016,402
4/27/2016,400
4/28/2016,390
5/2/2016,405
5/3/2016,399
5/4/2016,400
5/5/2016,395
5/8/2016,391
5/9/2016,398
5/10/2016,392
5/11/2016,388
5/12/2016,385
5/15/2016,390
5/16/2016,394
5/17/2016,386
5/18/2016,385
5/19/2016,388
5/22/2016,380
5/23/2016,375
5/24/2016,392
5/25/2016,397
5/26/2016,390
5/29/2016,386
5/30/2016,380
5/31/2016,395
6/1/2016,381
6/2/2016,375
6/5/2016,372
6/6/2016,372
6/7/2016,370
6/8/2016,383
6/9/2016,378
6/12/2016,383
6/13/2016,370
6/14/2016,380
6/15/2016,381
6/16/2016,400
6/19/2016,395
6/20/2016,400
6/21/2016,396
6/22/2016,395
6/23/2016,400
6/26/2016,400
6/27/2016,404
6/28/2016,403
6/29/2016,402
6/30/2016,412
7/3/2016,420
7/4/2016,450
7/5/2016,432
7/6/2016,440
7/10/2016,431
7/11/2016,435
7/12/2016,422
7/13/2016,420
7/14/2016,425
7/17/2016,435
7/18/2016,475
7/19/2016,489
7/20/2016,492
7/21/2016,495
7/25/2016,544
7/26/2016,595
7/27/2016,579
7/28/2016,548
7/31/2016,544
8/1/2016,525
8/2/2016,515
8/3/2016,503
8/4/2016,490
8/7/2016,500
8/8/2016,476
8/10/2016,496
8/11/2016,502
8/14/2016,480
8/15/2016,461
8/16/2016,474
8/17/2016,480
8/21/2016,480
8/22/2016,471
8/23/2016,465
8/24/2016,470
8/28/2016,464
8/29/2016,485
8/30/2016,483
8/31/2016,491
9/1/2016,482
9/5/2016,530
9/6/2016,565
9/7/2016,550
9/8/2016,555
9/11/2016,560
9/12/2016,553
9/14/2016,546
9/18/2016,528
9/20/2016,519
9/21/2016,527
9/22/2016,519
9/25/2016,501
9/26/2016,500
9/27/2016,520
9/28/2016,500
9/29/2016,500
10/2/2016,480
10/3/2016,491
10/4/2016,527
10/5/2016,512
10/6/2016,515
10/16/2016,505
10/17/2016,509
10/18/2016,500
10/19/2016,493
10/20/2016,493
10/23/2016,492
10/24/2016,495
10/25/2016,486
10/26/2016,478
10/27/2016,482
11/3/2016,485
11/7/2016,468
11/8/2016,460
11/9/2016,462
11/10/2016,465
11/13/2016,460
11/14/2016,450
11/15/2016,450
11/16/2016,442
11/17/2016,432
11/20/2016,430
11/21/2016,416
11/22/2016,397
11/23/2016,373
11/24/2016,383
11/27/2016,354
11/28/2016,368
11/29/2016,391
11/30/2016,422
12/1/2016,406
12/4/2016,382
12/5/2016,375
12/6/2016,380
12/7/2016,381
12/8/2016,380
12/11/2016,366
12/12/2016,352
12/14/2016,359
12/15/2016,375
12/18/2016,364
12/19/2016,364
12/20/2016,365
12/21/2016,353
12/22/2016,353
12/26/2016,347
12/27/2016,341
12/28/2016,335
12/29/2016,340
1/1/2017,340
1/2/2017,352
1/3/2017,347
1/4/2017,335
1/5/2017,340
1/8/2017,328
1/9/2017,332
1/10/2017,334
1/11/2017,336
1/12/2017,330
1/16/2017,336
1/17/2017,336
1/18/2017,352
1/22/2017,342
1/23/2017,344
1/24/2017,323
1/25/2017,312
1/26/2017,307
1/30/2017,280
1/31/2017,290
2/1/2017,312
2/2/2017,309
2/5/2017,300
2/6/2017,299
2/7/2017,300
2/8/2017,297
2/9/2017,287
2/12/2017,273
2/13/2017,284
2/14/2017,290
2/15/2017,316
2/16/2017,315
2/19/2017,325
2/20/2017,325
2/21/2017,325
2/22/2017,325
2/23/2017,310
2/26/2017,305
2/28/2017,300
3/1/2017,300
3/2/2017,297
3/5/2017,302
3/6/2017,305
3/7/2017,304
3/9/2017,297
3/13/2017,300
3/14/2017,300
3/15/2017,292
3/16/2017,296
3/19/2017,302
3/20/2017,314
3/21/2017,324
3/22/2017,341
3/23/2017,344
3/26/2017,352
3/28/2017,360
3/29/2017,361
3/30/2017,370
4/2/2017,381
4/3/2017,374
4/4/2017,386
4/6/2017,405
4/9/2017,415
4/10/2017,432
4/11/2017,456
4/12/2017,481
4/13/2017,475
4/16/2017,460
4/18/2017,445
4/19/2017,477
4/20/2017,461
4/23/2017,461
4/24/2017,456
4/25/2017,448
4/26/2017,455
4/27/2017,462
4/30/2017,455
5/2/2017,452
5/3/2017,455
5/4/2017,484
5/7/2017,461
5/8/2017,480
5/9/2017,491
5/11/2017,518
5/15/2017,500
5/16/2017,490
5/17/2017,492
5/18/2017,414
5/21/2017,411
5/22/2017,406
5/23/2017,420
5/24/2017,426
5/28/2017,410
5/30/2017,400
5/31/2017,419
6/1/2017,415
6/4/2017,410
6/5/2017,426
6/6/2017,436
6/7/2017,422
6/8/2017,428
6/11/2017,420
6/12/2017,410
6/13/2017,414
6/14/2017,407
6/15/2017,418
6/18/2017,419
6/19/2017,410
6/20/2017,405
6/21/2017,398
6/22/2017,405
6/25/2017,400
6/27/2017,388
6/28/2017,400
7/2/2017,395
7/3/2017,385
7/4/2017,382
7/5/2017,379
7/6/2017,394
7/9/2017,389
7/10/2017,390
7/11/2017,394
7/12/2017,400
7/13/2017,390
7/16/2017,390
7/17/2017,404
7/18/2017,408
7/19/2017,415
7/20/2017,409
7/23/2017,405
7/24/2017,420
7/25/2017,422
7/26/2017,410
7/27/2017,411
7/30/2017,412
7/31/2017,413
8/1/2017,419
8/2/2017,419
8/3/2017,415
8/6/2017,417
8/7/2017,417
8/9/2017,415
8/10/2017,410
8/13/2017,407
8/15/2017,405
8/16/2017,403
8/17/2017,400
8/20/2017,383
8/21/2017,395
8/22/2017,380
8/23/2017,393
8/24/2017,400
8/27/2017,392
8/28/2017,387
8/30/2017,378
8/31/2017,375
9/4/2017,367
9/6/2017,368
9/7/2017,368
9/10/2017,360
9/11/2017,360
9/12/2017,354
9/13/2017,350
9/14/2017,357
9/17/2017,365
9/18/2017,370
9/20/2017,368
9/24/2017,365
9/25/2017,369
9/26/2017,371
10/3/2017,378
10/4/2017,372
10/8/2017,363
10/9/2017,371
10/10/2017,370
10/11/2017,372
10/12/2017,366
10/15/2017,369
10/16/2017,390
10/17/2017,387
10/18/2017,386
10/22/2017,393
10/23/2017,389
10/24/2017,391
10/25/2017,380
10/29/2017,378
10/30/2017,375
10/31/2017,370
11/1/2017,365
11/2/2017,363
11/5/2017,367
11/6/2017,355
11/7/2017,360
11/8/2017,349
11/9/2017,346
11/12/2017,357
11/13/2017,353
11/14/2017,355
11/15/2017,351
11/16/2017,350
11/19/2017,348
11/20/2017,350
11/21/2017,345
11/22/2017,342
11/23/2017,348
11/26/2017,343
11/27/2017,350
11/28/2017,355
11/29/2017,356
11/30/2017,353
12/4/2017,352
12/5/2017,355
12/6/2017,362
12/10/2017,360
12/11/2017,347
12/12/2017,334
12/13/2017,227
12/14/2017,223
12/17/2017,220
12/18/2017,214
12/19/2017,214
12/20/2017,212
12/21/2017,212
12/24/2017,211
12/26/2017,199
12/27/2017,196
12/28/2017,190
12/31/2017,188
1/1/2018,197
1/2/2018,200
1/3/2018,200
1/4/2018,198
1/7/2018,200
1/8/2018,199
1/9/2018,200
1/10/2018,197
1/14/2018,196
1/16/2018,199
1/17/2018,193
1/21/2018,189
1/22/2018,186
1/23/2018,186
1/24/2018,190
1/25/2018,187
1/28/2018,187
1/29/2018,183
1/31/2018,188
2/1/2018,191
2/4/2018,193
2/5/2018,190
2/6/2018,188
2/7/2018,186
2/8/2018,187
2/11/2018,187
2/12/2018,189
2/14/2018,189
2/15/2018,193
2/18/2018,195
2/20/2018,190
2/21/2018,187
2/22/2018,189
2/25/2018,190
2/26/2018,189
2/27/2018,187
2/28/2018,180
3/4/2018,168
3/5/2018,169
3/6/2018,174
3/7/2018,180
3/11/2018,171
3/12/2018,183
3/13/2018,179
3/14/2018,175
3/15/2018,178
3/18/2018,178
3/19/2018,172
3/20/2018,167
3/21/2018,167
3/22/2018,164
3/26/2018,157
3/27/2018,167
3/28/2018,165
3/29/2018,169
4/1/2018,163
4/2/2018,156
4/3/2018,162
4/4/2018,171
4/5/2018,173
4/8/2018,176
4/9/2018,172
4/10/2018,170
4/11/2018,173
4/12/2018,174
4/15/2018,179
4/16/2018,182
4/17/2018,186
4/18/2018,196
4/19/2018,199
4/22/2018,207
4/23/2018,205
4/24/2018,194
4/25/2018,190
4/26/2018,184
4/29/2018,191
5/2/2018,197
5/3/2018,192
