S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-02-16,486.80,488.30,482.90,487.00,0.31,"53,350.00","25,859,337.70"
2,2025-02-13,488.00,490.00,482.10,485.50,0.10,"40,707.00","19,745,431.70"
3,2025-02-12,487.00,487.00,482.10,485.00,-0.41,"51,961.00","25,163,981.50"
4,2025-02-11,492.00,492.00,486.00,487.00,-0.61,"29,647.00","14,448,351.10"
5,2025-02-10,486.50,490.00,484.00,490.00,0.76,"51,838.00","25,208,899.60"
6,2025-02-09,495.00,495.00,485.00,486.30,-0.08,"49,012.00","23,879,846.40"
7,2025-02-06,494.00,495.00,486.00,486.70,-0.67,"50,451.00","24,674,687.80"
8,2025-02-05,491.10,493.00,489.50,490.00,-0.61,"70,028.00","34,368,058.90"
9,2025-02-04,500.00,500.00,490.00,493.00,-0.58,"53,987.00","26,637,510.80"
10,2025-02-03,492.00,503.00,491.40,495.90,0.92,"109,341.00","54,412,930.60"
11,2025-02-02,479.00,493.40,476.10,491.40,3.24,"105,241.00","51,266,050.70"
12,2025-01-28,478.00,481.00,475.00,476.00,-0.73,"108,959.00","51,900,828.70"
13,2025-01-27,481.00,483.00,477.20,479.50,-0.56,"62,150.00","29,773,335.50"
14,2025-01-26,492.00,492.00,482.10,482.20,-1.19,"54,531.00","26,437,625.30"
15,2025-01-23,490.00,492.00,485.30,488.00,0.41,"51,932.00","25,366,955.60"
16,2025-01-22,483.00,488.80,483.00,486.00,0.54,"62,780.00","30,483,036.60"
17,2025-01-21,484.00,489.00,480.30,483.40,-0.23,"50,098.00","24,175,213.00"
18,2025-01-20,490.00,495.00,482.20,484.50,-0.76,"82,199.00","39,945,308.90"
19,2025-01-19,489.00,497.00,485.00,488.20,-0.18,"52,392.00","25,518,159.50"
20,2025-01-16,490.00,495.00,487.00,489.10,-0.08,"51,859.00","25,336,426.10"
21,2025-01-15,492.10,494.00,489.00,489.50,0.00,"52,957.00","25,994,163.70"
22,2025-01-13,491.00,496.00,489.50,489.50,-0.22,"86,269.00","42,428,502.50"
23,2025-01-12,505.40,505.40,490.00,490.60,-0.99,"46,984.00","23,132,116.90"
24,2025-01-09,499.00,500.00,494.00,495.50,-0.68,"138,476.00","68,774,076.30"
25,2025-01-08,510.00,510.00,497.00,498.90,-0.22,"74,206.00","36,998,891.80"
26,2025-01-07,499.00,504.00,498.00,500.00,0.20,"64,195.00","32,074,731.10"
27,2025-01-06,501.50,501.50,498.00,499.00,0.00,"102,420.00","51,118,470.50"
28,2025-01-05,502.00,504.00,498.00,499.00,-0.06,"67,379.00","33,640,202.30"
