S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-02-16,403.00,411.00,403.00,407.90,0.44,"20,371.00","8,319,347.90"
2,2025-02-13,407.00,419.00,405.00,406.10,-2.14,"40,568.00","16,705,722.40"
3,2025-02-12,410.00,421.00,405.20,415.00,2.85,"82,123.00","34,103,463.20"
4,2025-02-11,396.00,404.80,395.70,403.50,1.13,"16,027.00","6,434,578.30"
5,2025-02-10,410.00,410.00,397.10,399.00,-0.75,"20,946.00","8,406,333.80"
6,2025-02-09,408.00,409.00,400.00,402.00,-1.18,"23,873.00","9,636,151.70"
7,2025-02-06,402.40,409.90,402.40,406.80,0.32,"34,914.00","14,163,142.70"
8,2025-02-05,410.00,413.00,403.10,405.50,-1.03,"28,016.00","11,387,263.70"
9,2025-02-04,416.10,419.00,405.80,409.70,-1.54,"42,118.00","17,254,639.70"
10,2025-02-03,420.90,425.00,411.10,416.10,-1.14,"65,712.00","27,470,088.00"
11,2025-02-02,406.00,422.00,402.00,420.90,3.70,"67,606.00","28,232,258.10"
12,2025-01-28,388.40,405.90,388.40,405.90,4.91,"65,065.00","25,986,975.80"
13,2025-01-27,383.00,390.00,383.00,386.90,-0.31,"21,208.00","8,221,829.90"
14,2025-01-26,390.00,396.00,388.00,388.10,-1.99,"33,045.00","12,910,127.00"
15,2025-01-23,405.00,406.00,393.10,396.00,-1.25,"27,186.00","10,825,074.40"
16,2025-01-22,392.00,407.00,390.00,401.00,2.82,"52,638.00","20,944,534.30"
17,2025-01-21,386.50,392.00,379.00,390.00,0.91,"30,352.00","11,761,435.50"
18,2025-01-20,389.00,389.00,381.30,386.50,0.68,"23,324.00","8,963,991.40"
19,2025-01-19,385.70,385.70,380.00,383.90,-0.47,"26,827.00","10,227,004.00"
20,2025-01-16,385.10,392.80,380.00,385.70,-1.61,"41,962.00","16,071,587.60"
21,2025-01-15,399.00,399.00,388.00,392.00,-0.25,"23,017.00","8,993,350.10"
22,2025-01-13,390.00,397.00,389.00,393.00,-0.51,"31,446.00","12,294,716.50"
23,2025-01-12,400.00,400.00,392.20,395.00,-1.25,"17,166.00","6,759,345.00"
24,2025-01-09,417.00,417.00,397.00,400.00,-2.68,"50,633.00","20,334,909.70"
25,2025-01-08,400.00,413.00,398.00,411.00,2.01,"45,723.00","18,591,241.60"
26,2025-01-07,402.00,409.90,400.00,402.90,0.22,"21,514.00","8,673,763.60"
27,2025-01-06,391.90,402.00,388.70,402.00,3.88,"25,543.00","10,139,112.20"
28,2025-01-05,391.00,395.00,384.00,387.00,-0.79,"20,045.00","7,779,496.20"
29,2025-01-02,377.00,391.00,376.80,390.10,2.66,"24,065.00","9,253,190.20"
30,2025-01-01,372.50,384.90,372.40,380.00,2.04,"17,234.00","6,570,545.10"
31,2024-12-31,401.00,401.90,383.00,386.00,-3.98,"50,885.00","19,795,351.70"
32,2024-12-29,403.90,407.00,400.10,402.00,-1.23,"45,558.00","18,302,719.90"
33,2024-12-26,412.00,414.00,406.70,407.00,-1.45,"26,419.00","10,831,680.30"
